time,data
12.895752,4.059532e-20
12.896240,6.757872e-20
12.896729,6.707807e-20
12.897217,6.495499e-20
12.897705,6.250039e-20
12.898193,5.798881e-20
12.898682,8.361388e-20
12.899170,4.894816e-20
12.899658,5.576803e-20
12.900146,4.564707e-20
12.900635,6.376704e-20
12.901123,5.324589e-20
12.901611,5.267691e-20
12.902100,6.036923e-20
12.902588,5.472804e-20
12.903076,3.275870e-20
12.903564,4.501357e-20
12.904053,5.033308e-20
12.904541,3.828830e-20
12.905029,2.299684e-20
12.905518,4.780392e-20
12.906006,3.294670e-21
12.906494,3.981159e-20
12.906982,1.718013e-20
12.907471,3.185691e-21
12.907959,5.323119e-21
12.908447,2.141137e-20
12.908936,-8.021801e-22
12.909424,5.131268e-21
12.909912,-9.036960e-21
12.910400,-1.367397e-20
12.910889,-6.318065e-21
12.911377,-6.108670e-21
12.911865,-1.887686e-20
12.912354,-1.772259e-20
12.912842,-1.837226e-20
12.913330,-2.357637e-20
12.913818,-5.656310e-20
12.914307,-3.035629e-20
12.914795,-4.508174e-20
12.915283,-1.555141e-20
12.915771,-3.880692e-20
12.916260,-5.006217e-20
12.916748,-4.753044e-20
12.917236,-6.450824e-20
12.917725,-3.600178e-20
12.918213,-5.127045e-20
12.918701,-3.748482e-20
12.919189,-4.253683e-20
12.919678,-5.108419e-20
12.920166,-6.242815e-20
12.920654,-3.724810e-20
12.921143,-4.630871e-20
12.921631,-3.496082e-20
12.922119,-7.466066e-20
12.922607,-5.138158e-20
12.923096,-4.353713e-20
12.923584,-6.296693e-20
12.924072,-3.289952e-20
12.924561,-3.620100e-20
12.925049,-6.339029e-20
12.925537,-3.837859e-20
12.926025,-6.534312e-20
12.926514,-3.505799e-20
12.927002,-4.030151e-20
12.927490,-7.275772e-20
12.927979,-3.779458e-20
12.928467,-2.169979e-20
12.928955,-5.174415e-20
12.929443,-4.233403e-20
12.929932,-2.824214e-20
12.930420,-1.946765e-20
12.930908,-2.693060e-20
12.931396,-4.183063e-20
12.931885,-2.910112e-20
12.932373,-5.490785e-20
12.932861,-2.831456e-20
12.933350,-1.754956e-20
12.933838,-1.048349e-20
12.934326,-1.857449e-20
12.934814,-1.200036e-20
12.935303,-2.403632e-20
12.935791,-2.449399e-20
12.936279,-2.149432e-20
12.936768,-3.874336e-21
12.937256,-3.777974e-20
12.937744,-5.731629e-22
12.938232,-1.502058e-20
12.938721,-1.770429e-20
12.939209,-6.389506e-21
12.939697,-5.795468e-21
12.940186,4.945936e-22
12.940674,-5.425770e-21
12.941162,-6.122292e-21
12.941650,-1.174667e-20
12.942139,-2.485788e-20
12.942627,-2.121378e-21
12.943115,1.777165e-21
12.943604,-9.285178e-22
12.944092,-1.658573e-20
12.944580,-3.383508e-20
12.945068,4.928388e-22
12.945557,-3.087023e-20
12.946045,1.165234e-20
12.946533,-5.023359e-21
12.947021,2.110784e-23
12.947510,-1.751154e-20
12.947998,-7.765818e-21
12.948486,-1.161816e-20
12.948975,-5.851670e-21
12.949463,-8.267793e-21
12.949951,-5.433432e-21
12.950439,8.437530e-21
12.950928,-3.500191e-20
12.951416,1.975041e-20
12.951904,-9.364954e-21
12.952393,9.111837e-21
12.952881,5.880506e-22
12.953369,1.201651e-20
12.953857,-8.014579e-21
12.954346,4.570328e-22
12.954834,-4.154229e-21
12.955322,1.964321e-20
12.955811,1.901781e-20
12.956299,-4.216627e-21
12.956787,-9.742568e-23
12.957275,2.772151e-20
12.957764,2.835071e-20
12.958252,-1.054937e-20
12.958740,2.700391e-20
12.959229,6.680774e-21
12.959717,1.916743e-20
12.960205,3.230217e-20
12.960693,2.729950e-20
12.961182,3.727711e-20
12.961670,5.146914e-21
12.962158,6.149814e-20
12.962646,4.113268e-20
12.963135,4.227357e-20
12.963623,4.805658e-20
12.964111,3.351905e-20
12.964600,5.974634e-20
12.965088,6.242527e-20
12.965576,7.369608e-20
12.966064,5.362311e-20
12.966553,5.221113e-20
12.967041,6.560512e-20
12.967529,7.748567e-20
12.968018,8.128344e-20
12.968506,5.948714e-20
12.968994,7.662956e-20
12.969482,8.386236e-20
12.969971,7.926174e-20
12.970459,6.146366e-20
12.970947,9.097195e-20
12.971436,1.006980e-19
12.971924,8.359695e-20
12.972412,7.847500e-20
12.972900,1.083581e-19
12.973389,8.440349e-20
12.973877,7.342004e-20
12.974365,1.022884e-19
12.974854,9.523703e-20
12.975342,1.251019e-19
12.975830,7.540030e-20
12.976318,8.510950e-20
12.976807,9.257260e-20
12.977295,7.681706e-20
12.977783,1.065260e-19
12.978271,8.470556e-20
12.978760,9.453774e-20
12.979248,8.499943e-20
12.979736,5.782529e-20
12.980225,9.413355e-20
12.980713,7.040324e-20
12.981201,8.458763e-20
12.981689,7.924815e-20
12.982178,6.632979e-20
12.982666,8.282909e-20
12.983154,6.349855e-20
12.983643,5.017280e-20
12.984131,5.711020e-20
12.984619,8.237128e-20
12.985107,6.405760e-20
12.985596,5.531991e-20
12.986084,6.188019e-20
12.986572,4.260727e-20
12.987061,4.011204e-20
12.987549,2.219800e-20
12.988037,3.318486e-20
12.988525,4.082189e-20
12.989014,3.288242e-20
12.989502,3.261284e-20
12.989990,1.036875e-20
12.990479,2.224632e-21
12.990967,2.028408e-20
12.991455,-2.678850e-21
12.991943,-1.191159e-20
12.992432,2.015244e-20
12.992920,1.100080e-20
12.993408,-2.886416e-20
12.993896,-3.813190e-20
12.994385,-1.880977e-20
12.994873,-3.028810e-20
12.995361,-1.878111e-20
12.995850,-4.881072e-20
12.996338,-6.123562e-20
12.996826,-2.599457e-20
12.997314,-4.344976e-20
12.997803,-7.798454e-20
12.998291,-9.086873e-20
12.998779,-5.349176e-20
12.999268,-5.967873e-20
12.999756,-7.194031e-20
13.000244,-1.036168e-19
13.000732,-5.521212e-20
13.001221,-8.929164e-20
13.001709,-8.395811e-20
13.002197,-1.039073e-19
13.002686,-7.677953e-20
13.003174,-9.847464e-20
13.003662,-9.646008e-20
13.004150,-1.080011e-19
13.004639,-1.189146e-19
13.005127,-1.001248e-19
13.005615,-1.107391e-19
13.006104,-1.094715e-19
13.006592,-1.064823e-19
13.007080,-1.249236e-19
13.007568,-1.171956e-19
13.008057,-1.163708e-19
13.008545,-8.997568e-20
13.009033,-1.196779e-19
13.009521,-1.058336e-19
13.010010,-1.000684e-19
13.010498,-1.123709e-19
13.010986,-1.168945e-19
13.011475,-9.265504e-20
13.011963,-8.255315e-20
13.012451,-1.039880e-19
13.012939,-8.812908e-20
13.013428,-9.229821e-20
13.013916,-7.625961e-20
13.014404,-8.311089e-20
13.014893,-9.179422e-20
13.015381,-6.051864e-20
13.015869,-6.740970e-20
13.016357,-6.051217e-20
13.016846,-7.019544e-20
13.017334,-5.158100e-20
13.017822,-4.206695e-20
13.018311,-2.975764e-20
13.018799,-6.057153e-20
13.019287,-2.722106e-20
13.019775,-1.363086e-20
13.020264,-3.387254e-20
13.020752,-2.017793e-20
13.021240,2.165303e-20
13.021729,-4.914650e-21
13.022217,1.836179e-20
13.022705,-2.162698e-20
13.023193,2.450487e-20
13.023682,4.135517e-20
13.024170,2.846250e-20
13.024658,3.344960e-20
13.025146,4.124829e-20
13.025635,3.917984e-20
13.026123,3.578205e-20
13.026611,7.149719e-20
13.027100,5.994411e-20
13.027588,6.341377e-20
13.028076,4.656909e-20
13.028564,7.122309e-20
13.029053,7.864806e-20
13.029541,6.827083e-20
13.030029,9.009618e-20
13.030518,9.379398e-20
13.031006,7.886393e-20
13.031494,8.560554e-20
13.031982,1.050276e-19
13.032471,8.883971e-20
13.032959,8.249393e-20
13.033447,8.956107e-20
13.033936,9.577077e-20
13.034424,1.000547e-19
13.034912,1.090872e-19
13.035400,7.979505e-20
13.035889,1.047714e-19
13.036377,8.301457e-20
13.036865,8.652817e-20
13.037354,9.081880e-20
13.037842,8.806448e-20
13.038330,6.646828e-20
13.038818,9.600807e-20
13.039307,5.196596e-20
13.039795,8.164255e-20
13.040283,6.383856e-20
13.040771,4.797740e-20
13.041260,4.854695e-20
13.041748,6.994663e-20
13.042236,5.153442e-20
13.042725,2.141515e-20
13.043213,3.732829e-20
13.043701,2.562186e-20
13.044189,1.277860e-20
13.044678,2.693492e-20
13.045166,9.432389e-21
13.045654,-7.350264e-22
13.046143,5.917734e-21
13.046631,-9.927533e-21
13.047119,-1.208710e-20
13.047607,-1.963791e-20
13.048096,-2.841929e-20
13.048584,-2.700822e-20
13.049072,-3.407991e-20
13.049561,-4.788013e-20
13.050049,-5.566478e-20
13.050537,-7.141282e-20
13.051025,-5.144836e-20
13.051514,-6.430602e-20
13.052002,-8.005255e-20
13.052490,-9.677178e-20
13.052979,-7.941624e-20
13.053467,-6.406660e-20
13.053955,-1.199911e-19
13.054443,-9.588857e-20
13.054932,-8.832250e-20
13.055420,-1.075784e-19
13.055908,-8.635926e-20
13.056396,-9.613535e-20
13.056885,-1.186066e-19
13.057373,-1.250377e-19
13.057861,-1.153203e-19
13.058350,-9.169443e-20
13.058838,-9.878364e-20
13.059326,-1.066748e-19
13.059814,-1.232746e-19
13.060303,-1.173429e-19
13.060791,-1.122203e-19
13.061279,-9.715960e-20
13.061768,-1.072104e-19
13.062256,-9.512488e-20
13.062744,-9.333271e-20
13.063232,-9.644663e-20
13.063721,-9.909775e-20
13.064209,-9.436765e-20
13.064697,-7.800969e-20
13.065186,-8.909658e-20
13.065674,-7.861278e-20
13.066162,-4.870367e-20
13.066650,-6.981030e-20
13.067139,-7.846591e-20
13.067627,-4.928677e-20
13.068115,-3.285568e-20
13.068604,-4.862375e-20
13.069092,-1.978571e-20
13.069580,-5.780839e-20
13.070068,-1.308904e-20
13.070557,-1.594155e-20
13.071045,-9.868979e-22
13.071533,-1.310712e-20
13.072021,2.244332e-20
13.072510,-1.897684e-20
13.072998,2.121658e-21
13.073486,1.350662e-20
13.073975,4.688748e-20
13.074463,2.383793e-20
13.074951,4.658345e-20
