time,template
0.380615,4.537903e-20
0.380859,4.254372e-20
0.381104,3.947041e-20
0.381348,3.617844e-20
0.381592,3.268392e-20
0.381836,2.900516e-20
0.382080,2.516786e-20
0.382324,2.118613e-20
0.382568,1.708677e-20
0.382812,1.289169e-20
0.383057,8.623278e-21
0.383301,4.303397e-21
0.383545,-4.045602e-23
0.383789,-4.384144e-21
0.384033,-8.707070e-21
0.384277,-1.298426e-20
0.384521,-1.718926e-20
0.384766,-2.130204e-20
0.385010,-2.529547e-20
0.385254,-2.914976e-20
0.385498,-3.284333e-20
0.385742,-3.635616e-20
0.385986,-3.966709e-20
0.386230,-4.275823e-20
0.386475,-4.561214e-20
0.386719,-4.821271e-20
0.386963,-5.054476e-20
0.387207,-5.259598e-20
0.387451,-5.435352e-20
0.387695,-5.580875e-20
0.387939,-5.695211e-20
0.388184,-5.777771e-20
0.388428,-5.828037e-20
0.388672,-5.845718e-20
0.388916,-5.830690e-20
0.389160,-5.783008e-20
0.389404,-5.702953e-20
0.389648,-5.590880e-20
0.389893,-5.447483e-20
0.390137,-5.273422e-20
0.390381,-5.069789e-20
0.390625,-4.837587e-20
0.390869,-4.578190e-20
0.391113,-4.292926e-20
0.391357,-3.983557e-20
0.391602,-3.651619e-20
0.391846,-3.298944e-20
0.392090,-2.927799e-20
0.392334,-2.539801e-20
0.392578,-2.137509e-20
0.392822,-1.723104e-20
0.393066,-1.298654e-20
0.393311,-8.669735e-21
0.393555,-4.300510e-21
0.393799,9.302081e-23
0.394043,4.489678e-21
0.394287,8.861113e-21
0.394531,1.318532e-20
0.394775,1.743611e-20
0.395020,2.159033e-20
0.395264,2.562444e-20
0.395508,2.951557e-20
0.395752,3.324160e-20
0.395996,3.678064e-20
0.396240,4.011528e-20
0.396484,4.322123e-20
0.396729,4.608644e-20
0.396973,4.868987e-20
0.397217,5.101946e-20
0.397461,5.306161e-20
0.397705,5.480368e-20
0.397949,5.623626e-20
0.398193,5.735020e-20
0.398438,5.813983e-20
0.398682,5.859981e-20
0.398926,5.872744e-20
0.399170,5.852183e-20
0.399414,5.798403e-20
0.399658,5.711620e-20
0.399902,5.592434e-20
0.400146,5.441368e-20
0.400391,5.259257e-20
0.400635,5.047276e-20
0.400879,4.806506e-20
0.401123,4.538234e-20
0.401367,4.243949e-20
0.401611,3.925425e-20
0.401855,3.584470e-20
0.402100,3.222946e-20
0.402344,2.842897e-20
0.402588,2.446474e-20
0.402832,2.035842e-20
0.403076,1.613670e-20
0.403320,1.181849e-20
0.403564,7.431786e-21
0.403809,3.002540e-21
0.404053,-1.447547e-21
0.404297,-5.890365e-21
0.404541,-1.029875e-20
0.404785,-1.465453e-20
0.405029,-1.892483e-20
0.405273,-2.308952e-20
0.405518,-2.712460e-20
0.405762,-3.100523e-20
0.406006,-3.471058e-20
0.406250,-3.821778e-20
0.406494,-4.150605e-20
0.406738,-4.455840e-20
0.406982,-4.735589e-20
0.407227,-4.988387e-20
0.407471,-5.212640e-20
0.407715,-5.406930e-20
0.407959,-5.570347e-20
0.408203,-5.701733e-20
0.408447,-5.800461e-20
0.408691,-5.865819e-20
0.408936,-5.897471e-20
0.409180,-5.895201e-20
0.409424,-5.858995e-20
0.409668,-5.789004e-20
0.409912,-5.685660e-20
0.410156,-5.549541e-20
0.410400,-5.381310e-20
0.410645,-5.182047e-20
0.410889,-4.952764e-20
0.411133,-4.694743e-20
0.411377,-4.409674e-20
0.411621,-4.098836e-20
0.411865,-3.764448e-20
0.412109,-3.408033e-20
0.412354,-3.031608e-20
0.412598,-2.637718e-20
0.412842,-2.228236e-20
0.413086,-1.806019e-20
0.413330,-1.372826e-20
0.413574,-9.315793e-21
0.413818,-4.849246e-21
0.414062,-3.508798e-22
0.414307,4.148758e-21
0.414551,8.628973e-21
0.414795,1.305927e-20
0.415039,1.741744e-20
0.415283,2.167464e-20
0.415527,2.580701e-20
0.415771,2.979210e-20
0.416016,3.360503e-20
0.416260,3.722504e-20
0.416504,4.063143e-20
0.416748,4.380149e-20
0.416992,4.671743e-20
0.417236,4.936321e-20
0.417480,5.172128e-20
0.417725,5.377933e-20
0.417969,5.552576e-20
0.418213,5.694974e-20
0.418457,5.804085e-20
0.418701,5.879536e-20
0.418945,5.920587e-20
0.419189,5.927150e-20
0.419434,5.899108e-20
0.419678,5.836593e-20
0.419922,5.739921e-20
